acmi_id,acmi_name,wikidata_id,wikidata_name,acmi_title,wikidata_title,match
77127,RICHARD CAMPBELL,Q5132081,CLEVELAND CAMPBELL,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,LOOKING FOR ERIC,20
77127,RICHARD CAMPBELL,Q7324993,RICHARD CULLEN,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,THIS DELICATE FILM WE'VE MADE,33
77127,RICHARD CAMPBELL,Q106267253,RICHARD DALE,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,ROCKETMEN,15
77127,RICHARD CAMPBELL,Q21067389,RICHARD CABRAL,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,PARANORMAL ACTIVITY: THE MARKED ONES,30
77127,RICHARD CAMPBELL,Q16211099,RICHARD VAN CAMP,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,THE LESSER BLESSED,29
77127,RICHARD CAMPBELL,Q21176501,RICHARD RAMSEY,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,THE SONG,19
77127,RICHARD CAMPBELL,Q95650717,CAROLINE CAMPBELL,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,LAST HIJACK,22
77127,RICHARD CAMPBELL,Q65115745,ESTELLE RICHARD,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,L'ORIGINE DES ESPECES,31
77127,RICHARD CAMPBELL,Q27045066,RICHARD KANE,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,ASHLEY BRYAN'S WORLD,25
77127,RICHARD CAMPBELL,Q19956730,GEORGINA CAMPBELL,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,KING ARTHUR: LEGEND OF THE SWORD,40
77127,RICHARD CAMPBELL,Q28792318,DERAGH CAMPBELL,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,SELBSTKRITIK EINES BUERGERLICHEN HUNDES,29
77127,RICHARD CAMPBELL,Q503470,RICHARD HAMBLETON,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,SHADOWMAN,11
77127,RICHARD CAMPBELL,Q3934777,RICHARD CANT,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,STAN AND OLLIE,21
77127,RICHARD CAMPBELL,Q84784184,RICHARD PHELAN,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,FARMAGEDDON: A SHAUN THE SHEEP MOVIE,30
77127,RICHARD CAMPBELL,Q2149888,RICHARD JEWELL,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,RICHARD JEWELL,24
